group,variable,value,text,info,entry,assoc_num,personID
x1,y1,0,,,,,
x1,y2,0,,,,,
x1,y3,0,,,,,
x1,y4,0,,,,,
x1,y5,0,,,,,
x1,y6,0,,,,,
x1,y7,0,,,,,
x1,y8,60,蘇詡,"蘇詡: 蘇詡之曾孫; 重孫, 科舉: 進士(籠統), 3 social connections.",科舉: 進士(籠統),3.0,19180.0
x1,y9,40,潘夙,"潘夙: 潘夙之姪孫;從孫, 科舉: 進士(籠統), 1 social connections.",科舉: 進士(籠統),1.0,1390.0
x1,y10,20,聶義仲,"聶義仲: 聶義仲之三子, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,15526.0
x1,y11,-10,歐陽昞,"歐陽昞: 歐陽昞之兄, nan, 1 social connections.",,1.0,12216.0
x1,y12,-20,歐陽懋,"歐陽懋: 歐陽懋之父, nan, 3 social connections.",,3.0,3686.0
x1,y13,-40,蘇頌,"蘇頌: 蘇頌之祖父, 科舉: 進士(籠統), 219 social connections.",科舉: 進士(籠統),219.0,8116.0
x1,y14,0,,,,,
x1,y15,0,,,,,
x1,y16,0,,,,,
x1,y17,0,,,,,
x1,y18,0,,,,,
x1,y19,0,,,,,
x1,y20,0,,,,,
x1,y21,0,,,,,
x2,y1,0,,,,,
x2,y2,0,,,,,
x2,y3,0,,,,,
x2,y4,0,,,,,
x2,y5,0,,,,,
x2,y6,0,,,,,
x2,y7,0,,,,,
x2,y8,60,蘇國蘭,"蘇國蘭: 蘇國蘭之曾孫; 重孫, 科舉: 進士(籠統), 1 social connections.",科舉: 進士(籠統),1.0,12799.0
x2,y9,40,范祖樸,"范祖樸: 范祖樸之孫女婿, nan, 0 social connections.",,0.0,27126.0
x2,y10,20,聶友仲,"聶友仲: 聶友仲之長子; 第一子, 恩蔭、蔭補(籠統), 0 social connections.",恩蔭、蔭補(籠統),0.0,15524.0
x2,y11,-10,聶宗卿,"聶宗卿: 聶宗卿之弟, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,15522.0
x2,y12,-20,司馬池,"司馬池: 司馬池之父, nan, 3 social connections.",,3.0,1486.0
x2,y13,-40,薛氏,"薛氏: 薛氏之祖母, 恩蔭、蔭補(籠統), 0 social connections.",恩蔭、蔭補(籠統),0.0,38756.0
x2,y14,0,,,,,
x2,y15,0,,,,,
x2,y16,0,,,,,
x2,y17,0,,,,,
x2,y18,0,,,,,
x2,y19,0,,,,,
x2,y20,0,,,,,
x2,y21,0,,,,,
x3,y1,0,,,,,
x3,y2,0,,,,,
x3,y3,0,,,,,
x3,y4,0,,,,,
x3,y5,0,,,,,
x3,y6,0,,,,,
x3,y7,0,,,,,
x3,y8,60,司馬伋,"司馬伋: 司馬伋之曾姪孫;從曾孫, nan, 1 social connections.",,1.0,16081.0
x3,y9,40,元耆弼,"元耆弼: 元耆弼之孫女婿, nan, 0 social connections.",,0.0,4137.0
x3,y10,20,吳銓,"吳銓: 吳銓之女婿, 恩蔭、蔭補(籠統), 2 social connections.",恩蔭、蔭補(籠統),2.0,4006.0
