group,variable,value,text,info,entry,assoc_num,personID
x1,y1,0,,,,,
x1,y2,0,,,,,
x1,y3,0,,,,,
x1,y4,0,,,,,
x1,y5,0,,,,,
x1,y6,0,,,,,
x1,y7,0,,,,,
x1,y8,0,,,,,
x1,y9,40,韓安冑,"韓安冑: 韓忠彥之孫, nan, 0 social connections.",,0.0,34119.0
x1,y10,20,逢,"逢: 逄汝霖之族子, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,10494.0
x1,y11,-10,韓純彥,"韓純彥: 韓忠彥之弟, 科舉: 進士(籠統), 3 social connections.",科舉: 進士(籠統),3.0,7031.0
x1,y12,-20,傅楫,"傅楫: 傅自修之父, nan, 13 social connections.",,13.0,7225.0
x1,y13,0,,,,,
x1,y14,0,,,,,
x1,y15,0,,,,,
x1,y16,0,,,,,
x1,y17,0,,,,,
x1,y18,0,,,,,
x1,y19,0,,,,,
x1,y20,0,,,,,
x1,y21,0,,,,,
x2,y1,0,,,,,
x2,y2,0,,,,,
x2,y3,0,,,,,
x2,y4,0,,,,,
x2,y5,0,,,,,
x2,y6,0,,,,,
x2,y7,0,,,,,
x2,y8,0,,,,,
x2,y9,40,韓完冑,"韓完冑: 韓忠彥之孫, nan, 0 social connections.",,0.0,34117.0
x2,y10,20,周必先,"周必先: 周利見之四子, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,561818.0
x2,y11,-10,韓忠彥,"韓忠彥: 韓粹彥之兄, nan, 10 social connections.",,10.0,644.0
x2,y12,-20,徐致甫,"徐致甫: 傅傳正之岳父, nan, 1 social connections.",,1.0,551393.0
x2,y13,0,,,,,
x2,y14,0,,,,,
x2,y15,0,,,,,
x2,y16,0,,,,,
x2,y17,0,,,,,
x2,y18,0,,,,,
x2,y19,0,,,,,
x2,y20,0,,,,,
x2,y21,0,,,,,
x3,y1,0,,,,,
x3,y2,0,,,,,
x3,y3,0,,,,,
x3,y4,0,,,,,
x3,y5,0,,,,,
x3,y6,0,,,,,
x3,y7,0,,,,,
x3,y8,0,,,,,
x3,y9,40,韓膚冑,"韓膚冑: 韓忠彥之孫, nan, 0 social connections.",,0.0,17782.0
x3,y10,20,呂坦中,"呂坦中: 周利見之女婿, 恩蔭、蔭補(籠統), 0 social connections.",恩蔭、蔭補(籠統),0.0,12135.0
x3,y11,-10,富氏,"富氏: 富弼之妹, nan, 1 social connections.",,1.0,5118.0
x3,y12,-20,符授,"符授: 符行中之父, nan, 2 social connections.",,2.0,17218.0
x3,y13,0,,,,,
x3,y14,0,,,,,
x3,y15,0,,,,,
x3,y16,0,,,,,
x3,y17,0,,,,,
x3,y18,0,,,,,
x3,y19,0,,,,,
x3,y20,0,,,,,
x3,y21,0,,,,,
x4,y1,0,,,,,
x4,y2,0,,,,,
x4,y3,0,,,,,
x4,y4,0,,,,,
x4,y5,0,,,,,
x4,y6,0,,,,,
x4,y7,0,,,,,
x4,y8,0,,,,,
x4,y9,40,韓思純,"韓思純: 韓贄之孫, nan, 0 social connections.",,0.0,654.0
