group,variable,value,text,info,entry,assoc_num,personID
x1,y1,0,,,,,
x1,y2,0,,,,,
x1,y3,0,,,,,
x1,y4,0,,,,,
x1,y5,0,,,,,
x1,y6,0,,,,,
x1,y7,0,,,,,
x1,y8,60,李處全,"李處全: 李處全之曾孫; 重孫, 科舉: 進士(籠統), 3 social connections.",科舉: 進士(籠統),3.0,16814.0
x1,y9,40,李巽,"李巽: 李巽之孫, nan, 0 social connections.",,0.0,19594.0
x1,y10,20,高信臣,"高信臣: 高信臣之三子, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,36397.0
x1,y11,-10,尹氏,"尹氏: 尹氏之妻子, nan, 0 social connections.",,0.0,119433.0
x1,y12,-20,郭守璘,"郭守璘: 郭守璘之父, nan, 0 social connections.",,0.0,10536.0
x1,y13,-40,林積仁,"林積仁: 林積仁之祖父, 科舉: 進士(籠統), 3 social connections.",科舉: 進士(籠統),3.0,1154.0
x1,y14,0,,,,,
x1,y15,0,,,,,
x1,y16,0,,,,,
x1,y17,0,,,,,
x1,y18,0,,,,,
x1,y19,0,,,,,
x1,y20,0,,,,,
x1,y21,0,,,,,
x2,y1,0,,,,,
x2,y2,0,,,,,
x2,y3,0,,,,,
x2,y4,0,,,,,
x2,y5,0,,,,,
x2,y6,0,,,,,
x2,y7,0,,,,,
x2,y8,60,李孝廣,"李孝廣: 李孝廣之曾孫; 重孫, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,1029.0
x2,y9,40,李希甫,"李希甫: 李希甫之孫, nan, 0 social connections.",,0.0,26557.0
x2,y10,20,高端臣,"高端臣: 高端臣之長子; 第一子, 恩蔭、蔭補(籠統), 0 social connections.",恩蔭、蔭補(籠統),0.0,36395.0
x2,y11,-10,郭逵,"郭逵: 郭逵之弟, 科舉: 進士(籠統), 7 social connections.",科舉: 進士(籠統),7.0,8072.0
x2,y12,-20,賀氏,"賀氏: 賀氏之母, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,119371.0
x2,y13,-40,梁彥深,"梁彥深: 梁彥深之祖父, 科舉: 進士(籠統), 2 social connections.",科舉: 進士(籠統),2.0,3565.0
x2,y14,0,,,,,
x2,y15,0,,,,,
x2,y16,0,,,,,
x2,y17,0,,,,,
x2,y18,0,,,,,
x2,y19,0,,,,,
x2,y20,0,,,,,
x2,y21,0,,,,,
x3,y1,0,,,,,
x3,y2,0,,,,,
x3,y3,0,,,,,
x3,y4,0,,,,,
x3,y5,0,,,,,
x3,y6,0,,,,,
x3,y7,0,,,,,
x3,y8,60,李懸黎,"李懸黎: 李懸黎之曾孫女, nan, 0 social connections.",,0.0,142048.0
x3,y9,40,李文子,"李文子: 李文子之孫, nan, 3 social connections.",,3.0,19163.0
x3,y10,20,高惟慶,"高惟慶: 高惟慶之子, nan, 0 social connections.",,0.0,17380.0
x3,y11,-10,曹氏,"曹氏: 曹氏之妻子, nan, 0 social connections.",,0.0,44088.0
x3,y12,-20,傅佇,"傅佇: 傅佇之岳父, nan, 3 social connections.",,3.0,11189.0
