group,variable,value,text,info,entry,assoc_num,personID
x1,y1,0,,,,,
x1,y2,0,,,,,
x1,y3,0,,,,,
x1,y4,0,,,,,
x1,y5,0,,,,,
x1,y6,0,,,,,
x1,y7,0,,,,,
x1,y8,0,,,,,
x1,y9,40,陳孝則,"陳孝則: 陳從易之孫, nan, 2 social connections.",,2.0,11640.0
x1,y10,20,晁子誰,"晁子誰: 晁公邁之三子, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,13549.0
x1,y11,-10,陳知倫,"陳知倫: 陳知儉之從兄弟;堂兄弟, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,35.0
x1,y12,-20,陳懿,"陳懿: 陳桷之父, nan, 2 social connections.",,2.0,14352.0
x1,y13,0,,,,,
x1,y14,0,,,,,
x1,y15,0,,,,,
x1,y16,0,,,,,
x1,y17,0,,,,,
x1,y18,0,,,,,
x1,y19,0,,,,,
x1,y20,0,,,,,
x1,y21,0,,,,,
x2,y1,0,,,,,
x2,y2,0,,,,,
x2,y3,0,,,,,
x2,y4,0,,,,,
x2,y5,0,,,,,
x2,y6,0,,,,,
x2,y7,0,,,,,
x2,y8,0,,,,,
x2,y9,40,陳用之,"陳用之: 陳橐之孫, nan, 0 social connections.",,0.0,13453.0
x2,y10,20,晁詠之,"晁詠之: 晁端彥之子, nan, 9 social connections.",,9.0,3028.0
x2,y11,-10,蔡氏,"蔡氏: 陳求道之妻子, nan, 0 social connections.",,0.0,119376.0
x2,y12,-20,夏侯嶠,"夏侯嶠: 夏侯彧之父, nan, 0 social connections.",,0.0,8058.0
x2,y13,0,,,,,
x2,y14,0,,,,,
x2,y15,0,,,,,
x2,y16,0,,,,,
x2,y17,0,,,,,
x2,y18,0,,,,,
x2,y19,0,,,,,
x2,y20,0,,,,,
x2,y21,0,,,,,
x3,y1,0,,,,,
x3,y2,0,,,,,
x3,y3,0,,,,,
x3,y4,0,,,,,
x3,y5,0,,,,,
x3,y6,0,,,,,
x3,y7,0,,,,,
x3,y8,0,,,,,
x3,y9,40,陳景思,"陳景思: 陳康伯之孫, nan, 6 social connections.",,6.0,3059.0
x3,y10,20,侯寘,"侯寘: 晁謙之之外甥, nan, 0 social connections.",,0.0,43709.0
x3,y11,-10,陳賡,"陳賡: 陳貫之弟, 科舉: 進士(籠統), 1 social connections.",科舉: 進士(籠統),1.0,11650.0
x3,y12,-20,陳康民,"陳康民: 陳求道之父, nan, 0 social connections.",,0.0,61.0
x3,y13,0,,,,,
x3,y14,0,,,,,
x3,y15,0,,,,,
x3,y16,0,,,,,
x3,y17,0,,,,,
x3,y18,0,,,,,
x3,y19,0,,,,,
x3,y20,0,,,,,
x3,y21,0,,,,,
x4,y1,0,,,,,
x4,y2,0,,,,,
x4,y3,0,,,,,
x4,y4,0,,,,,
x4,y5,0,,,,,
x4,y6,0,,,,,
x4,y7,0,,,,,
x4,y8,0,,,,,
x4,y9,40,陳希默,"陳希默: 陳汝錫之孫, nan, 0 social connections.",,0.0,15792.0
