group,variable,value,text,info,entry,assoc_num,personID
x1,y1,0,,,,,
x1,y2,0,,,,,
x1,y3,0,,,,,
x1,y4,0,,,,,
x1,y5,0,,,,,
x1,y6,0,,,,,
x1,y7,0,,,,,
x1,y8,60,黃古心,"黃古心: 黃古心之曾孫; 重孫, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,19034.0
x1,y9,40,韓寶冑,"韓寶冑: 韓寶冑之孫, nan, 0 social connections.",,0.0,34120.0
x1,y10,20,逢,"逢: 逢之族子, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,10494.0
x1,y11,-10,韓純彥,"韓純彥: 韓純彥之弟, 科舉: 進士(籠統), 3 social connections.",科舉: 進士(籠統),3.0,7031.0
x1,y12,-20,傅楫,"傅楫: 傅楫之父, nan, 13 social connections.",,13.0,7225.0
x1,y13,-40,許信,"許信: 許信之祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,18696.0
x1,y14,0,,,,,
x1,y15,0,,,,,
x1,y16,0,,,,,
x1,y17,0,,,,,
x1,y18,0,,,,,
x1,y19,0,,,,,
x1,y20,0,,,,,
x1,y21,0,,,,,
x2,y1,0,,,,,
x2,y2,0,,,,,
x2,y3,0,,,,,
x2,y4,0,,,,,
x2,y5,0,,,,,
x2,y6,0,,,,,
x2,y7,0,,,,,
x2,y8,60,薛師董,"薛師董: 薛師董之曾孫; 重孫, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,14286.0
x2,y9,40,韓宏冑,"韓宏冑: 韓宏冑之孫, nan, 0 social connections.",,0.0,34118.0
x2,y10,20,周必先,"周必先: 周必先之四子, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,561818.0
x2,y11,-10,韓忠彥,"韓忠彥: 韓忠彥之兄, nan, 10 social connections.",,10.0,644.0
x2,y12,-20,徐致甫,"徐致甫: 徐致甫之岳父, nan, 1 social connections.",,1.0,551393.0
x2,y13,-40,鮮于端夫,"鮮于端夫: 鮮于端夫之祖父, 科舉: 進士(籠統), 0 social connections.",科舉: 進士(籠統),0.0,18565.0
x2,y14,0,,,,,
x2,y15,0,,,,,
x2,y16,0,,,,,
x2,y17,0,,,,,
x2,y18,0,,,,,
x2,y19,0,,,,,
x2,y20,0,,,,,
x2,y21,0,,,,,
x3,y1,0,,,,,
x3,y2,0,,,,,
x3,y3,0,,,,,
x3,y4,0,,,,,
x3,y5,0,,,,,
x3,y6,0,,,,,
x3,y7,0,,,,,
x3,y8,60,薛師雍,"薛師雍: 薛師雍之曾孫; 重孫, 科舉: 進士(籠統), 1 social connections.",科舉: 進士(籠統),1.0,10586.0
x3,y9,40,韓肯冑,"韓肯冑: 韓肯冑之孫, nan, 0 social connections.",,0.0,34116.0
x3,y10,20,呂坦中,"呂坦中: 呂坦中之女婿, 恩蔭、蔭補(籠統), 0 social connections.",恩蔭、蔭補(籠統),0.0,12135.0
x3,y11,-10,富氏,"富氏: 富氏之妹, nan, 1 social connections.",,1.0,5118.0
